concatenationXY,time
6997.6765,0.0
6998.6765,0.0
6999.6765,0.0
7000.6765,0.0
7001.6765,0.0
7002.6765,0.0
7003.6765,0.0
7004.6765,0.0
7005.6765,0.0
7006.6765,0.0
7007.6765,0.0
7008.6765,0.0
7009.6765,0.0
7010.6765,0.0
7011.6765,0.0
7012.6765,0.0
7013.6765,0.0
7014.6765,0.0
7015.6765,0.0
7016.6765,0.0
7017.6765,0.0
7018.6765,0.0
7019.6765,0.0
7020.6765,0.0
7021.6765,0.0
7022.6765,0.0
7023.6765,0.0
7024.6765,0.0
7025.6765,0.0
7026.6765,0.0
7027.6765,0.0
7028.6765,0.0
7029.6765,0.0
7030.6765,0.0
7031.6765,0.0
7032.6765,0.0
7033.6765,0.0
7034.6765,0.0
7035.6765,0.0
7036.6765,0.0
7037.6765,0.0
7038.6765,0.0
7039.6765,0.0
7040.6765,0.0
7041.6765,0.0
7042.6765,0.0
7043.6765,0.0
7044.6765,0.0
7045.6765,0.0
7046.6765,0.0009975433349609375
7047.6765,0.0
7048.6765,0.0
7049.6765,0.0
7050.6765,0.0
7051.6765,0.0
7052.6765,0.0
7053.6765,0.0
7054.6765,0.0
7055.6765,0.0
7056.6765,0.0
7057.6765,0.0
7058.6765,0.0
7059.6765,0.0
7060.6765,0.0
7061.6765,0.0
7062.6765,0.0009667873382568359
7063.6765,0.0
7064.6765,0.0
7065.6765,0.0
7066.6765,0.0
7067.6765,0.0
7068.6765,0.0
7069.6765,0.0
7070.6765,0.0
7071.6765,0.0
7072.6765,0.0
7073.6765,0.0
7074.6765,0.0
7075.6765,0.0
7076.6765,0.0
7077.6765,0.0
7078.6765,0.0
7079.6765,0.0
7080.6765,0.0
7081.6765,0.0
7082.6765,0.0
7083.6765,0.0
7084.6765,0.0
7085.6765,0.0
7086.6765,0.0
7087.6765,0.0
7088.6765,0.0
7089.6765,0.0
7090.6765,0.0
7091.6765,0.0
7092.6765,0.000997781753540039
7093.6765,0.0
7094.6765,0.0
7095.6765,0.0
7096.6765,0.0
7097.6765,0.0
7098.6765,0.0
7099.6765,0.0
7100.6765,0.0
7101.6765,0.0
7102.6765,0.0
7103.6765,0.0
7104.6765,0.0
7105.6765,0.0
7106.6765,0.0
7107.6765,0.0
7108.6765,0.0
7109.6765,0.0
7110.6765,0.0
7111.6765,0.0
7112.6765,0.0
7113.6765,0.0
7114.6765,0.0
7115.6765,0.0
7116.6765,0.0
7117.6765,0.0
7118.6765,0.0
7119.6765,0.0
7120.6765,0.0
7121.6765,0.0
7122.6765,0.0
7123.6765,0.0
7124.6765,0.0
7125.6765,0.0
7126.6765,0.0
7127.6765,0.0
7128.6765,0.0
7129.6765,0.0
7130.6765,0.0
7131.6765,0.0
7132.6765,0.0009965896606445312
7133.6765,0.0
7134.6765,0.0
7135.6765,0.0
7136.6765,0.0
7137.6765,0.0
7138.6765,0.0
7139.6765,0.0
7140.6765,0.0
7141.6765,0.0
7142.6765,0.0009975433349609375
7143.6765,0.0
7144.6765,0.0
7145.6765,0.0
7146.6765,0.0
7147.6765,0.0
7148.6765,0.0
7149.6765,0.0
7150.6765,0.0
7151.6765,0.0
7152.6765,0.0
7153.6765,0.0
7154.6765,0.0
7155.6765,0.0
7156.6765,0.0
7157.6765,0.0
7158.6765,0.0
7159.6765,0.0
7160.6765,0.0
7161.6765,0.0
7162.6765,0.0
7163.6765,0.0
7164.6765,0.0
7165.6765,0.0
7166.6765,0.0
7167.6765,0.0
7168.6765,0.0
7169.6765,0.0
7170.6765,0.0
7171.6765,0.0
7172.6765,0.0
7173.6765,0.0
7174.6765,0.0
7175.6765,0.0
7176.6765,0.0
7177.6765,0.0
7178.6765,0.0
7179.6765,0.0
7180.6765,0.0
7181.6765,0.0
7182.6765,0.0
7183.6765,0.0
7184.6765,0.0
7185.6765,0.0
7186.6765,0.0
7187.6765,0.0
7188.6765,0.0
7189.6765,0.0
7190.6765,0.0009789466857910156
7191.6765,0.0
7192.6765,0.0
7193.6765,0.0
7194.6765,0.0
7195.6765,0.0
7196.6765,0.0
7197.6765,0.0
7198.6765,0.0
7199.6765,0.0
7200.6765,0.0
7201.6765,0.0
7202.6765,0.0
7203.6765,0.0
7204.6765,0.0
7205.6765,0.0
7206.6765,0.0
7207.6765,0.0
7208.6765,0.0
7209.6765,0.0
7210.6765,0.0
7211.6765,0.0
7212.6765,0.0
7213.6765,0.0
7214.6765,0.0
7215.6765,0.0
7216.6765,0.0
7217.6765,0.0
7218.6765,0.0
7219.6765,0.0
7220.6765,0.0
7221.6765,0.0
7222.6765,0.0
7223.6765,0.0009970664978027344
7224.6765,0.0
7225.6765,0.0
7226.6765,0.0
7227.6765,0.0
7228.6765,0.0
7229.6765,0.0
7230.6765,0.0
7231.6765,0.0009965896606445312
7232.6765,0.0
7233.6765,0.0
7234.6765,0.0
7235.6765,0.0
7236.6765,0.0
7237.6765,0.0
7238.6765,0.0
7239.6765,0.0
7240.6765,0.0
7241.6765,0.0
7242.6765,0.0
7243.6765,0.0
7244.6765,0.0
7245.6765,0.0
7246.6765,0.0
7247.6765,0.0
7248.6765,0.0
7249.6765,0.0
7250.6765,0.0
7251.6765,0.0
7252.6765,0.0
7253.6765,0.0
7254.6765,0.0
7255.6765,0.0
7256.6765,0.0
7257.6765,0.0
7258.6765,0.0
7259.6765,0.0
7260.6765,0.0
7261.6765,0.0
7262.6765,0.0
7263.6765,0.0
7264.6765,0.0
7265.6765,0.0
7266.6765,0.0
7267.6765,0.0
7268.6765,0.0
7269.6765,0.0
7270.6765,0.0
7271.6765,0.0
7272.6765,0.0
7273.6765,0.0
7274.6765,0.0
7275.6765,0.0
7276.6765,0.0009982585906982422
7277.6765,0.0
7278.6765,0.0
7279.6765,0.0
7280.6765,0.0
7281.6765,0.0
7282.6765,0.0
7283.6765,0.0
7284.6765,0.0
7285.6765,0.0
7286.6765,0.0
7287.6765,0.0
7288.6765,0.0
7289.6765,0.0
7290.6765,0.0
7291.6765,0.0
7292.6765,0.0
7293.6765,0.000993490219116211
7294.6765,0.0
7295.6765,0.0
7296.6765,0.0
7297.6765,0.0
7298.6765,0.0
7299.6765,0.0
7300.6765,0.0
7301.6765,0.0
7302.6765,0.0
7303.6765,0.0
7304.6765,0.0
7305.6765,0.0
7306.6765,0.0
7307.6765,0.0
7308.6765,0.0
7309.6765,0.0
7310.6765,0.0
7311.6765,0.0
7312.6765,0.0
7313.6765,0.0
7314.6765,0.0009779930114746094
7315.6765,0.0
7316.6765,0.0
7317.6765,0.0
7318.6765,0.0
7319.6765,0.001506805419921875
7320.6765,0.0
7321.6765,0.0
7322.6765,0.0
7323.6765,0.0
7324.6765,0.0
7325.6765,0.0
7326.6765,0.0
7327.6765,0.0
7328.6765,0.0
7329.6765,0.0
7330.6765,0.0
7331.6765,0.0
7332.6765,0.0
7333.6765,0.0
7334.6765,0.0
7335.6765,0.0
7336.6765,0.0
7337.6765,0.0
7338.6765,0.0
7339.6765,0.0
7340.6765,0.0
7341.6765,0.0
7342.6765,0.0
7343.6765,0.0
7344.6765,0.0
7345.6765,0.0
7346.6765,0.0
